benchmark,n,time,cpu,iterations
cauchy_cdf_data,8,414,867,1689428
cauchy_cdf_data,16,735,1521,953505
cauchy_cdf_data,32,1346,2800,519542
cauchy_cdf_data,64,2570,5372,272442
cauchy_cdf_data,128,4966,10418,140988
cauchy_cdf_data,256,9845,20792,70887
cauchy_cdf_data,512,19613,40979,35625
cauchy_cdf_data,1024,39695,81943,17624
cauchy_lcdf_data,2,211,420,3312887
cauchy_lcdf_data,4,329,630,2125234
cauchy_lcdf_data,8,560,1018,1248695
cauchy_lcdf_data,16,1038,1830,673730
cauchy_lcdf_data,32,1967,3429,355981
cauchy_lcdf_data,64,3854,6661,181707
cauchy_lcdf_data,128,7569,13027,92639
cauchy_lcdf_data,256,15045,25803,46508
cauchy_lcdf_data,512,29843,51179,23418
cauchy_lcdf_data,1024,59135,101364,11854
cauchy_lccdf_data,2,212,422,3297626
cauchy_lccdf_data,4,333,635,2097778
cauchy_lccdf_data,8,567,1025,1235321
cauchy_lccdf_data,16,1044,1837,670701
cauchy_lccdf_data,32,1972,3435,353950
cauchy_lccdf_data,64,3853,6661,181843
cauchy_lccdf_data,128,7554,13012,92731
cauchy_lccdf_data,256,15032,25803,46538
cauchy_lccdf_data,512,29805,51136,23493
cauchy_lccdf_data,1024,59043,101191,11861
chi_square_lpdf,2,305,484,2291578
chi_square_lpdf,4,460,733,1523745
chi_square_lpdf,8,763,1211,916947
chi_square_lpdf,16,1386,2199,504505
chi_square_lpdf,32,2547,4095,274959
chi_square_lpdf,64,4905,7910,142712
chi_square_lpdf,128,9577,15470,73146
chi_square_lpdf,256,19252,31026,36358
chi_square_lpdf,512,38118,61290,18365
chi_square_lpdf,1024,75395,121252,9278
chi_square_cdf,2,2250,2433,311121
chi_square_cdf,4,4359,4642,160740
chi_square_cdf,8,8541,9004,81686
chi_square_cdf,16,16937,17762,41366
chi_square_cdf,32,33683,35236,20770
chi_square_cdf,64,67086,70099,10421
chi_square_cdf,128,134117,140012,5225
chi_square_cdf,256,267690,279429,2617
chi_square_cdf,512,535931,558999,1309
chi_square_cdf,1024,1068996,1114514,655
chi_square_lcdf,2,2295,2478,304694
chi_square_lcdf,4,4435,4711,157631
chi_square_lcdf,8,8701,9156,80486
chi_square_lcdf,16,17275,18091,40540
chi_square_lcdf,32,34395,35938,20365
chi_square_lcdf,64,68700,71701,10197
chi_square_lcdf,128,136912,142788,5117
chi_square_lcdf,256,273886,285604,2559
chi_square_lcdf,512,547604,570562,1282
chi_square_lcdf,1024,1094631,1140153,640
chi_square_lccdf,2,3515,3699,199510
chi_square_lccdf,4,6890,7174,101537
chi_square_lccdf,8,13622,14085,51207
chi_square_lccdf,16,27053,27880,25899
chi_square_lccdf,32,53984,55540,12939
chi_square_lccdf,64,107579,110592,6520
chi_square_lccdf,128,215013,220885,3256
chi_square_lccdf,256,429742,441426,1630
chi_square_lccdf,512,858666,881575,818
chi_square_lccdf,1024,1717829,1763094,408
chi_square_lpdf_data,2,272,480,2580211
chi_square_lpdf_data,4,418,758,1676782
chi_square_lpdf_data,8,713,1316,979934
chi_square_lpdf_data,16,1291,2434,542071
chi_square_lpdf_data,32,2427,4660,288313
chi_square_lpdf_data,64,4696,9109,148956
chi_square_lpdf_data,128,9190,17913,76076
chi_square_lpdf_data,256,18293,35704,38261
chi_square_lpdf_data,512,36189,70604,19348
chi_square_lpdf_data,1024,72075,140495,9712
chi_square_cdf_data,2,1993,2207,351401
chi_square_cdf_data,4,3878,4223,180570
chi_square_cdf_data,8,7613,8223,91550
chi_square_cdf_data,16,15098,16253,46295
chi_square_cdf_data,32,30046,32291,23268
chi_square_cdf_data,64,59987,64413,11699
chi_square_cdf_data,128,119678,128410,5849
chi_square_cdf_data,256,239123,256572,2931
chi_square_cdf_data,512,477547,511991,1467
chi_square_cdf_data,1024,954846,1023168,732
chi_square_lcdf_data,2,2040,2250,342790
chi_square_lcdf_data,4,3965,4308,176296
chi_square_lcdf_data,8,7789,8399,89796
chi_square_lcdf_data,16,15454,16608,45267
chi_square_lcdf_data,32,30760,33004,22720
chi_square_lcdf_data,64,61345,65768,11392
chi_square_lcdf_data,128,122549,131280,5717
chi_square_lcdf_data,256,245036,262465,2857
chi_square_lcdf_data,512,489014,523470,1431
chi_square_lcdf_data,1024,977702,1046067,715
chi_square_lccdf_data,2,3272,3488,214422
chi_square_lccdf_data,4,6413,6764,108810
chi_square_lccdf_data,8,12685,13303,55225
chi_square_lccdf_data,16,25197,26364,27722
chi_square_lccdf_data,32,50361,52629,13983
chi_square_lccdf_data,64,100321,104768,6997
chi_square_lccdf_data,128,200497,209242,3493
chi_square_lccdf_data,256,401116,418583,1746
chi_square_lccdf_data,512,800287,834657,873
chi_square_lccdf_data,1024,1600334,1668498,437
double_exponential_lpdf,2,227,441,3093386
double_exponential_lpdf,4,293,609,2387733
double_exponential_lpdf,8,432,913,1619545
double_exponential_lpdf,16,727,1558,962911
double_exponential_lpdf,32,1282,2813,545078
double_exponential_lpdf,64,2368,5326,295634
double_exponential_lpdf,128,4522,10273,154870
double_exponential_lpdf,256,8972,20458,78008
double_exponential_lpdf,512,17705,39979,39545
double_exponential_lpdf,1024,35031,79659,19976
double_exponential_cdf,2,219,434,3185864
double_exponential_cdf,4,274,590,2556866
double_exponential_cdf,8,403,879,1736676
double_exponential_cdf,16,707,1544,991662
double_exponential_cdf,32,1184,2713,590637
double_exponential_cdf,64,2151,5102,325690
double_exponential_cdf,128,4045,9811,172903
double_exponential_cdf,256,8036,19494,87092
double_exponential_cdf,512,15748,38133,44454
double_exponential_cdf,1024,31777,76440,22054
double_exponential_lcdf,2,211,421,3315436
double_exponential_lcdf,4,290,602,2415620
