benchmark,n,time,cpu,iterations
cauchy_lcdf,256,15628,27218,44816
cauchy_lcdf,512,31067,53805,22524
cauchy_lcdf,1024,61870,106854,11306
cauchy_lccdf,2,245,458,2858400
cauchy_lccdf,4,367,673,1906998
cauchy_lccdf,8,606,1084,1154343
cauchy_lccdf,16,1093,1921,638601
cauchy_lccdf,32,2076,3613,337065
cauchy_lccdf,64,4005,6962,174628
cauchy_lccdf,128,7861,13621,88970
cauchy_lccdf,256,15627,27198,44839
cauchy_lccdf,512,31077,53802,22534
cauchy_lccdf,1024,61887,106970,11317
cauchy_lpdf_data,2,343,551,2041924
cauchy_lpdf_data,4,436,736,1605965
cauchy_lpdf_data,8,626,1081,1119813
cauchy_lpdf_data,16,1066,1873,656376
cauchy_lpdf_data,32,1779,3239,393718
cauchy_lpdf_data,64,3274,6048,213881
cauchy_lpdf_data,128,6198,11565,112966
cauchy_lpdf_data,256,12272,23006,57026
cauchy_lpdf_data,512,24025,45241,29194
cauchy_lpdf_data,1024,47147,88779,14879
cauchy_cdf_data,2,180,386,3893620
cauchy_cdf_data,4,263,559,2661464
cauchy_cdf_data,8,426,877,1643533
cauchy_cdf_data,16,761,1542,920525
cauchy_cdf_data,32,1391,2820,502724
cauchy_cdf_data,64,2688,5430,260617
cauchy_cdf_data,128,5221,10557,134223
cauchy_cdf_data,256,10401,20959,67382
cauchy_cdf_data,512,20655,41540,33827
cauchy_cdf_data,1024,41801,83121,16750
cauchy_lcdf_data,2,213,421,3283837
cauchy_lcdf_data,4,333,633,2106904
cauchy_lcdf_data,8,565,1019,1239946
cauchy_lcdf_data,16,1044,1825,670825
cauchy_lcdf_data,32,1978,3409,353330
cauchy_lcdf_data,64,3903,6650,179335
cauchy_lcdf_data,128,7647,12974,91557
cauchy_lcdf_data,256,15246,25767,45859
cauchy_lcdf_data,512,30242,51119,23168
cauchy_lcdf_data,1024,59822,101040,11684
cauchy_lccdf_data,2,216,423,3251468
cauchy_lccdf_data,4,335,630,2085506
cauchy_lccdf_data,8,568,1018,1232418
cauchy_lccdf_data,16,1047,1826,668183
cauchy_lccdf_data,32,1982,3411,353011
cauchy_lccdf_data,64,3911,6655,178998
cauchy_lccdf_data,128,7656,12982,91377
cauchy_lccdf_data,256,15245,25751,45877
cauchy_lccdf_data,512,30214,51113,23172
cauchy_lccdf_data,1024,59831,101053,11705
chi_square_lpdf,2,366,546,1912231
chi_square_lpdf,4,510,786,1373423
chi_square_lpdf,8,806,1260,868426
chi_square_lpdf,16,1393,2222,502304
chi_square_lpdf,32,2479,4041,282215
chi_square_lpdf,64,4699,7732,148859
chi_square_lpdf,128,9052,14974,77392
chi_square_lpdf,256,18022,29832,38873
chi_square_lpdf,512,35493,58758,19712
chi_square_lpdf,1024,70129,116292,9986
chi_square_cdf,2,2293,2475,305534
chi_square_cdf,4,4452,4733,157727
chi_square_cdf,8,8714,9172,80313
chi_square_cdf,16,17285,18104,40542
chi_square_cdf,32,34382,35924,20365
chi_square_cdf,64,68482,71469,10205
chi_square_cdf,128,136920,142767,5124
chi_square_cdf,256,273488,285177,2551
chi_square_cdf,512,546305,569319,1283
chi_square_cdf,1024,1093495,1139104,640
chi_square_lcdf,2,2333,2517,299180
chi_square_lcdf,4,4528,4810,154768
chi_square_lcdf,8,8894,9356,78714
chi_square_lcdf,16,17624,18447,39740
chi_square_lcdf,32,35053,36602,19969
chi_square_lcdf,64,69847,72849,10022
chi_square_lcdf,128,139549,145437,5007
chi_square_lcdf,256,279222,290957,2505
chi_square_lcdf,512,557829,580883,1255
chi_square_lcdf,1024,1114442,1160133,628
chi_square_lccdf,2,3746,3935,187175
chi_square_lccdf,4,7283,7571,96071
chi_square_lccdf,8,14306,14772,48491
chi_square_lccdf,16,27934,28765,25060
chi_square_lccdf,32,55623,57188,12530
chi_square_lccdf,64,111104,114118,6313
chi_square_lccdf,128,221778,227660,3161
chi_square_lccdf,256,442925,454624,1579
chi_square_lccdf,512,885362,908314,791
chi_square_lccdf,1024,1772814,1818206,394
chi_square_lpdf_data,2,293,462,2388783
chi_square_lpdf_data,4,431,694,1622949
chi_square_lpdf_data,8,708,1130,991273
chi_square_lpdf_data,16,1257,2017,556593
chi_square_lpdf_data,32,2310,3746,303051
chi_square_lpdf_data,64,4435,7214,157823
chi_square_lpdf_data,128,8669,14109,80804
chi_square_lpdf_data,256,17288,28165,40495
chi_square_lpdf_data,512,34105,55553,20529
chi_square_lpdf_data,1024,67927,110479,10311
chi_square_cdf_data,2,2026,2200,345440
chi_square_cdf_data,4,3944,4215,177984
chi_square_cdf_data,8,7745,8178,90545
chi_square_cdf_data,16,15349,16118,45577
chi_square_cdf_data,32,30524,31963,22902
chi_square_cdf_data,64,60957,63735,11506
chi_square_cdf_data,128,121566,126981,5772
chi_square_cdf_data,256,243197,253942,2882
chi_square_cdf_data,512,485743,507028,1442
chi_square_cdf_data,1024,971211,1013415,720
chi_square_lcdf_data,2,2093,2267,334165
chi_square_lcdf_data,4,4050,4322,172826
chi_square_lcdf_data,8,7945,8377,88148
chi_square_lcdf_data,16,15742,16510,44438
chi_square_lcdf_data,32,31263,32701,22354
chi_square_lcdf_data,64,62307,65079,11236
chi_square_lcdf_data,128,124373,129763,5628
chi_square_lcdf_data,256,249166,259911,2819
chi_square_lcdf_data,512,496906,518142,1408
chi_square_lcdf_data,1024,993198,1035295,704
chi_square_lccdf_data,2,3375,3555,207146
chi_square_lccdf_data,4,6624,6905,105294
chi_square_lccdf_data,8,13105,13547,53198
chi_square_lccdf_data,16,26079,26863,26870
chi_square_lccdf_data,32,52021,53467,13489
chi_square_lccdf_data,64,103761,106551,6736
chi_square_lccdf_data,128,207164,212582,3375
chi_square_lccdf_data,256,414305,424982,1691
chi_square_lccdf_data,512,827899,849121,842
chi_square_lccdf_data,1024,1657991,1699984,423
double_exponential_lpdf,2,224,435,3121227
double_exponential_lpdf,4,295,596,2375907
double_exponential_lpdf,8,436,905,1607218
double_exponential_lpdf,16,740,1564,948162
double_exponential_lpdf,32,1283,2803,544223
double_exponential_lpdf,64,2397,5333,291228
double_exponential_lpdf,128,4582,10294,152842
double_exponential_lpdf,256,9153,20609,76464
double_exponential_lpdf,512,18095,40694,38731
double_exponential_lpdf,1024,35798,80570,19560
double_exponential_cdf,2,221,431,3161023
double_exponential_cdf,4,280,583,2504061
double_exponential_cdf,8,410,876,1706581
double_exponential_cdf,16,723,1549,970913
double_exponential_cdf,32,1242,2755,562820
double_exponential_cdf,64,2232,5152,313725
double_exponential_cdf,128,4282,10051,162132
double_exponential_cdf,256,8543,20100,82019
double_exponential_cdf,512,16818,39488,41705
double_exponential_cdf,1024,33764,78696,20742
double_exponential_lcdf,2,212,423,3300278
double_exponential_lcdf,4,289,596,2421701
double_exponential_lcdf,8,442,912,1583815
double_exponential_lcdf,16,739,1555,945768
double_exponential_lcdf,32,1325,2833,527843
double_exponential_lcdf,64,2489,5412,281419
double_exponential_lcdf,128,4871,10613,143717
double_exponential_lcdf,256,9742,21293,71743
double_exponential_lcdf,512,19300,41922,36211
double_exponential_lcdf,1024,38328,83152,18269
double_exponential_lccdf,2,214,423,3303749
double_exponential_lccdf,4,293,598,2390207
double_exponential_lccdf,8,441,911,1594379
double_exponential_lccdf,16,738,1555,948486
double_exponential_lccdf,32,1318,2825,531408
double_exponential_lccdf,64,2479,5399,282151
double_exponential_lccdf,128,4862,10605,143981
double_exponential_lccdf,256,9721,21258,71933
double_exponential_lccdf,512,19287,41896,36220
double_exponential_lccdf,1024,38300,83220,18287
double_exponential_lpdf_data,2,187,392,3736170
double_exponential_lpdf_data,4,260,556,2694768
double_exponential_lpdf_data,8,400,845,1752232
double_exponential_lpdf_data,16,666,1435,1050207
double_exponential_lpdf_data,32,1177,2593,594155
double_exponential_lpdf_data,64,2242,4956,311656
double_exponential_lpdf_data,128,4336,9630,161521
double_exponential_lpdf_data,256,8624,19278,81208
double_exponential_lpdf_data,512,17063,37915,41067
double_exponential_lpdf_data,1024,33589,74841,20841
double_exponential_cdf_data,2,190,393,3689864
